high0	high1	high2	high3	high4	high5	low0	low1	low2	low3	low4	low5	canver.plasmid	early0	early1	early2	unsorted1	unsorte21	unsorted3	unsorted4	unsorted5
1526	400	233	683	575	953	1064	341	487	200	1133	1698	644	1094	1070	214	350	382	386	453	374
3602	116	298	615	600	1306	1860	202	1209	206	1565	1993	635	1790	1368	220	272	1323	555	486	589
735	178	231	390	415	481	592	211	421	56	910	1067	294	665	450	109	238	458	182	336	239
769	169	165	359	481	771	591	124	475	202	964	1319	344	722	590	178	171	366	298	451	250
2495	355	689	916	761	1352	1593	403	1309	539	1793	1924	808	1682	1250	293	401	986	824	591	535
2060	146	891	739	617	1446	1400	391	749	375	1730	2075	752	1799	1425	300	430	754	496	555	555
2837	243	300	244	351	369	1015	180	301	119	935	764	639	1718	1204	209	273	495	265	261	148
993	432	168	379	362	733	872	325	429	121	943	1237	323	850	604	110	387	391	226	331	294
1320	238	448	572	575	1153	1034	235	550	279	1575	1821	401	978	632	171	275	596	352	526	468
1318	256	275	935	639	2213	1079	246	485	346	1857	2684	442	869	825	231	311	423	399	566	459
862	317	1031	488	621	1138	1010	288	740	135	1515	1751	372	850	652	180	271	789	335	431	417
442	218	271	599	428	944	526	281	518	145	897	901	345	562	483	123	268	740	192	346	261
578	172	637	273	264	589	724	250	410	108	669	1153	259	498	391	123	207	422	146	213	263
209	68	127	217	206	523	248	51	88	62	218	261	212	307	276	92	47	130	141	114	127
3754	732	260	838	1267	1513	2478	464	688	266	2360	2250	798	1974	1550	354	535	861	695	674	807
2751	571	307	690	786	1054	1295	236	691	282	1404	1906	788	1897	1263	251	329	645	573	444	449
2461	353	705	709	612	1074	1849	350	429	375	1256	2376	595	1536	1064	198	380	346	665	399	575
1006	216	1969	478	532	953	1089	419	1012	119	1172	1644	564	1065	877	187	485	1146	333	512	348
736	371	612	434	495	468	680	158	695	202	1109	1059	384	583	499	170	148	912	292	389	266
455	372	229	946	557	1254	530	314	618	310	1183	1977	334	552	499	171	360	810	321	514	477
840	626	273	623	630	780	886	285	605	178	1058	1800	357	942	517	168	274	845	301	385	358
1428	89	304	402	661	882	1050	199	566	210	1062	1343	479	1044	739	171	223	664	353	462	399
