Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
135	223	139	85
24	5	25	2
112	58	101	143
485	467	579	858
694	463	789	707
409	274	522	634
363	242	418	301
416	1142	513	494
484	346	510	560
473	305	483	485
522	533	742	350
538	956	849	752
353	339	381	243
505	588	673	659
482	651	490	528
590	629	615	907
536	587	523	781
335	486	410	285
138	64	158	217
114	80	112	174
450	883	505	755
19	72	51	65
150	103	191	308
268	297	322	168
611	491	681	971
458	302	546	427
137	106	182	119
139	237	221	182
462	571	572	579
630	893	712	620
185	109	211	63
1205	1150	1382	1330
788	842	853	852
913	1290	1089	1114
137	312	187	203
379	488	471	496
108	297	182	78
124	136	130	68
261	194	308	121
256	471	378	492
224	300	206	131
377	362	391	222
366	342	248	270
270	310	308	514
182	351	182	455
741	777	1054	1344
593	319	728	648
190	198	269	175
167	85	173	88
198	127	216	143
526	601	673	709
203	244	307	409
161	294	244	186
228	435	384	242
179	340	203	275
340	899	517	343
339	252	322	862
463	572	499	775
91	165	123	241
122	55	97	226
78	1	88	14
89	150	101	105
195	441	332	319
193	228	219	355
270	141	244	179
36	42	74	55
541	286	467	407
158	119	179	100
264	352	396	322
136	326	166	155
123	211	144	159
1128	788	1189	1713
255	122	279	312
1643	2086	2087	1788
747	1000	869	1133
216	124	292	563
249	415	267	838
301	236	397	212
443	508	360	322
159	213	153	91
247	149	257	312
72	100	100	83
269	325	298	480
900	1206	1048	1094
307	221	440	364
237	182	265	199
352	186	363	857
65	167	77	129
38	49	97	123
239	180	275	312
196	227	207	157
344	268	432	200
104	56	51	186
404	500	566	464
136	19	166	157
435	730	515	724
857	938	1099	1388
622	718	711	1059
194	226	313	140
24	10	34	3
331	227	309	597
673	982	790	1040
506	707	613	698
0	0	1	68
472	473	512	499
215	124	262	95
238	346	270	357
1050	1524	1237	1141
156	120	212	84
218	255	290	274
886	1433	1120	1325
450	377	628	840
434	647	633	1015
212	60	182	138
393	468	385	720
265	429	398	256
345	313	360	234
272	360	513	558
254	293	361	262
339	343	325	530
355	232	389	601
162	343	201	348
34	20	24	31
466	660	697	709
603	563	653	682
242	263	275	309
55	41	81	70
306	275	351	342
235	121	314	216
563	517	778	808
282	126	331	469
270	410	351	326
73	88	98	134
682	787	824	804
396	869	555	452
514	695	683	862
959	1133	1331	1140
513	973	690	349
495	615	480	1026
429	563	492	727
403	347	420	153
551	550	537	1146
274	382	354	196
706	967	734	1355
84	12	52	59
234	182	278	458
399	502	545	667
